X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
230637.410243106,2324287.21632489,"124","3105000011716",14,3,5,2
230977.639249611,2320153.18889575,"125","3105000011773",22,19,11,11
223502.013064528,2321849.77608048,"126","3105000011805",85,23,5,15
230660.851979911,2318118.65827473,"127",310500001181A,32,8,4,5
231338.236426343,2317883.53466072,"128","3105000011824",21,8,7,12
226097.005961656,2315773.75782468,"129","3105000011843",36,11,7,17
227046.942112695,2315924.62327351,"130","3105000011858",64,16,11,55
225146.345112628,2324720.82962518,"131","3105000011913",27,6,4,16
234064.103120694,2323239.98031929,"132",310500001199A,19,6,10,5
222811.414693027,2320078.27871581,"133","3105000012080",17,20,14,13
224943.980165744,2325345.81947502,"134","3105000012201",17,8,3,18
225785.744441162,2325239.98202468,"135","3105000012216",25,14,5,12
224623.064998478,2324263.28502425,"136","3105000012220",26,7,1,5
224473.321140632,2323964.92132458,"137","3105000012235",12,6,3,4
223369.477020229,2325844.7400239,"138",310500001224A,12,6,5,5
223844.681832832,2325592.91801501,"139","3105000012254",23,4,4,9
224263.400949591,2325365.68152532,"140","3105000012269",49,11,7,26
223904.941867556,2324875.97832378,"141","3105000012273",39,20,3,12
224564.594966891,2327386.43947506,"142","3105000012288",16,7,2,1
224794.506675808,2326116.09797512,"143","3105000012292",8,7,1,7
224953.20025231,2327650.13657497,"144",310500001231A,19,10,9,7
227032.336279033,2328753.4359747,"145","3105000012324",7,9,2,8
227102.695345581,2328256.6855747,"146","3105000012339",10,6,2,6
227251.203433897,2327508.67222456,"147","3105000012343",3,0,1,2
228334.249647305,2324430.34532455,"148","3105000012358",9,2,1,1
228797.355785914,2324336.17929056,"149","3105000012362",6,0,1,2
228423.287757751,2324882.15141261,"150","3105000012377",2,2,2,0
228889.660728981,2324808.14633034,"151","3105000012381",3,3,0,0
227776.670762317,2324882.15141222,"152","3105000012396",14,3,4,5
227760.735292377,2324093.27157449,"153","3105000012409",10,5,5,6
226612.35945279,2325387.8362742,"154","3105000012413",33,10,4,36
226908.934127739,2324874.15714396,"155","3105000012428",17,8,4,8
225293.980016401,2324263.54922475,"156","3105000012432",34,5,3,14
225822.803000189,2324262.28772509,"157","3105000012447",12,0,5,3
226421.347761029,2327605.69642482,"158","3105000012451",11,0,0,5
226216.501400707,2326935.79698792,"159","3105000012466",18,12,5,17
226814.725330113,2326885.71752496,"160","3105000012470",15,3,2,6
226624.126832508,2324124.15797506,"161","3105000012485",11,9,2,11
227085.497634934,2324336.21757437,"162",310500001249A,9,4,2,4
229337.472845257,2326255.35297503,"163","3105000012502",9,7,2,3
229168.265923373,2325337.17507438,"164","3105000012517",7,1,1,0
232839.914044391,2326748.87116173,"165","3105000012521",25,5,3,19
231249.06617265,2325807.46302567,"166","3105000012540",6,4,2,0
